"id","city","longitude","latitude"
"1108541","Chaklasi","72.93333300","22.65000000"
"1108563","Chakra","73.63333300","21.46666700"
"1108603","Chalala","71.16666700","21.41666700"
"1108621","Chaloda","72.45000000","22.80000000"
"1108623","Chalora","72.45000000","22.80000000"
"1108635","Chamardi","71.91666700","21.83333300"
"1108658","Champaner","73.55000000","22.48333300"
"1108692","Chanasma","72.11666700","23.71666700"
"1108721","Chandap","72.85000000","23.91666700"
"1108726","Chandarni","73.13333300","23.66666700"
"1108737","Chandawari","70.45000000","21.21666700"
"1108776","Chandisar","72.31666700","24.21666700"
"1108782","Chandli","70.58333300","22.15000000"
"1108790","Chandod","73.46666700","21.98333300"
"1108813","Chandrani","70.06666700","23.28333300"
"1108822","Chandrawada","69.46666700","21.87277800"
"1108825","Chandrora","71.96666700","23.58333300"
"1108846","Chandyan","73.13333300","23.66666700"
"1108928","Charadva","71.01666700","22.91666700"
"1108936","Charan","71.53333300","21.91666700"
"1108966","Charkha","71.21666700","21.43333300"
"1108968","Charkhardi","70.66666700","21.90000000"
"1108985","Charopadi Moti","68.68333300","23.36666700"
"1109011","Chatar","70.23333300","22.13333300"
"1109102","Chavad","71.40000000","21.80000000"
"1109226","Chhaen","74.31666700","22.98333300"
"1109234","Chhala","72.76666700","23.30000000"
"1109235","Chhalala","71.80000000","22.41666700"
"1109284","Chhara","70.71472200","20.73972200"
"1109290","Chhasra","69.81666700","22.96666700"
"1109348","Chhipdi","72.91666700","22.96666700"
"1109349","Chhipri","72.91666700","22.96666700"
"1109370","Chhota Udepur","74.01666700","22.31666700"
"1109377","Chhuchhapura","73.60000000","22.18333300"
"1109430","Chikda","73.65000000","21.51666700"
"1109434","Chikhli","73.06666700","20.75000000"
"1109446","Chikli","73.96666700","21.46666700"
"1109460","Chilakota","74.11666700","22.73333300"
"1109596","Chiol","73.11666700","20.43333300"
"1109609","Chirai M","70.25000000","23.20000000"
"1109610","Chirai Mota","70.25000000","23.20000000"
"1109642","Chital","71.20000000","21.73333300"
"1109681","Chitrod","70.70000000","23.40000000"
"1109682","Chitror","70.70000000","23.40000000"
"1109716","Chobari","71.20000000","22.26666700"
"1109724","Chodwan","73.83333300","21.41666700"
"1109732","Chok","71.76666700","21.41666700"
"1109734","Chokri","71.60000000","22.48333300"
"1109790","Chor Warodra","72.21666700","23.11666700"
"1109764","Choranda","73.15000000","21.98333300"
"1109765","Chorandla","73.68333300","22.16666700"
"1109766","Chorangla","73.68333300","22.16666700"
"1109776","Chorimal","73.31666700","23.86666700"
"1109778","Chorivad","73.11666700","23.88333300"
"1109786","Chorunal","73.31666700","23.86666700"
"1109787","Chorwad","70.23333300","21.01666700"
"1109789","Chorwar","70.23333300","21.01666700"
"1109802","Chota Udaipur","74.01666700","22.31666700"
"1109805","Chotila","71.18333300","22.41666700"
"1109817","Chuda","71.68333300","22.48333300"
"1109819","Chudeswar","69.53333300","22.35000000"
"1109835","Chuna","71.75000000","21.21666700"
"1109849","Chunda","70.81666700","21.60000000"
"1109853","Chunel","73.03333300","22.75000000"
"1109863","Chura","70.81666700","21.60000000"
"1109896","Civil Station","71.68333300","22.70000000"
"1109905","Cogna","72.28333300","21.68333300"
"1109987","Cutch Mandi","69.36666700","22.83333300"
"1109988","Cutch-Mandvi","69.36666700","22.83333300"
"1110007","Dabha","73.10000000","23.20000000"
"1110012","Dabhel","72.95000000","21.03333300"
"1110017","Dabhoda","72.73333300","23.16666700"
